Empresa,Linha,Media_Viagens_Anual,Media_Passagens_Anual
CONCEIÇÃO,21,2342.0,119023.33333333333
CONCEIÇÃO,30,1510.75,65669.83333333334
CONCEIÇÃO,31,1.0,2.0
CONCEIÇÃO,41,52.375,1794.125
CONCEIÇÃO,59,1711.5833333333333,84009.33333333333
CONCEIÇÃO,63,2879.6666666666665,154647.24999999997
CONCEIÇÃO,76,203.33333333333334,10188.833333333334
CONCEIÇÃO,83,957.1666666666666,45496.25
CONCEIÇÃO,411,796.4166666666666,39703.58333333333
CONCEIÇÃO,587,259.6666666666667,5326.999999999999
CONCEIÇÃO,589,298.1818181818182,2698.727272727273
CONCEIÇÃO,599,1117.3333333333333,47926.74999999999
CONCEIÇÃO,905,129.83333333333334,5440.416666666667
CONCEIÇÃO,2271,1561.25,73247.66666666666
CONCEIÇÃO,5901,21.0,169.0
CONCEIÇÃO,5991,200.0,2167.0
DUNAS - URB,33,2686.25,218372.5833333333
DUNAS - URB,40,2198.0,147425.83333333334
DUNAS - URB,331,577.0833333333334,34161.91666666667
DUNAS - URB,332,537.6666666666666,13669.916666666668
DUNAS - URB,411,342.0,17851.083333333332
DUNAS - URB,412,1.0,0.0
GUANABARA - URB,2,1400.1666666666667,70787.33333333333
GUANABARA - URB,4,1353.1666666666667,62481.91666666667
GUANABARA - URB,5,1560.6666666666667,67226.25
GUANABARA - URB,8,2531.75,175290.00000000003
GUANABARA - URB,13,1.0,3.0
GUANABARA - URB,15,1420.25,101981.83333333334
GUANABARA - URB,17,177.0,12290.0
GUANABARA - URB,19,447.6666666666667,15344.833333333334
GUANABARA - URB,25,834.1666666666666,28638.0
GUANABARA - URB,29,750.5,46449.58333333333
GUANABARA - URB,43,933.6666666666666,60292.666666666664
GUANABARA - URB,60,2212.5833333333335,133617.58333333337
GUANABARA - URB,64,1570.6666666666667,115760.41666666667
GUANABARA - URB,70,1295.1666666666667,52906.416666666664
GUANABARA - URB,72,1576.4166666666667,83015.83333333333
GUANABARA - URB,75,930.5,52533.5
GUANABARA - URB,76,293.0,13179.666666666666
GUANABARA - URB,77,2647.3333333333335,143477.58333333334
GUANABARA - URB,79,2093.0833333333335,126253.41666666669
GUANABARA - URB,84,2121.8333333333335,110237.99999999999
GUANABARA - URB,593,525.0909090909091,6428.727272727273
GUANABARA - URB,6443,6.0,363.0
REUNIDAS,7,2432.75,134567.25
REUNIDAS,26,397.0,21670.5
REUNIDAS,27,1398.75,68827.41666666666
REUNIDAS,29,1576.8333333333333,91173.33333333334
REUNIDAS,35,1819.4166666666667,123813.91666666666
REUNIDAS,43,923.5833333333334,55238.00000000001
REUNIDAS,68,209.0,7430.0
REUNIDAS,73,5725.833333333333,424666.1666666666
REUNIDAS,78,689.5,30152.749999999996
SANTA MARIA - URB,24,1380.6666666666667,74508.83333333333
SANTA MARIA - URB,37,1444.75,68977.58333333334
SANTA MARIA - URB,38,3897.75,263499.4166666667
SANTA MARIA - URB,39,1735.25,81896.41666666666
SANTA MARIA - URB,46,2632.0,157289.5
SANTA MARIA - URB,54,1424.4166666666667,65891.58333333334
SANTA MARIA - URB,56,858.25,23937.5
SANTA MARIA - URB,66,1.0,0.0
SANTA MARIA - URB,83,724.1666666666666,36164.91666666667
SANTA MARIA - URB,331,555.0833333333334,28909.083333333336
SANTA MARIA - URB,332,493.5,14531.125
SANTA MARIA - URB,411,554.6666666666666,29373.749999999996
SANTA MARIA - URB,566,18.0,55.0
VIA SUL - URB,50,3629.1666666666665,225308.5833333333
VIA SUL - URB,51,1666.0833333333333,72611.33333333334
VIA SUL - URB,52,1630.1666666666667,71190.25
