EMPRESA,LINHA,NOME,ROTA
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA ALVORADA DO NORTE (Terminal)
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA PEDRO ÁLVARES CABRAL
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA SÃO FRANCISCO
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV SANTAREM
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA LÍRIO DOS CAMPOS
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. BOA SORTE
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. DAS FRONTEIRAS
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. FLORIANOPOLIS
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA BLUMENAU
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. SENHOR DO BONFIM
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. DR. JOÃO MEDEIROS FILHO
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA GUADALUPE
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA ILHEUS
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV MARANGUAPE
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. DAS FRONTEIRAS
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV. BOA SORTE
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA LÍRIO DOS CAMPOS
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,AV SANTAREM
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA SÃO FRANCISCO
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA PEDRO ÁLVARES CABRAL
TRANSPORTES CIDADE DO NATAL,600, NORTE-BAIRROS ,RUA ALVORADA DO NORTE (Terminal)
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA. ENG.JOÃO HÉLIO (Terminal)
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA AGRESTINA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,R MONTE REI
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA SERRA DA JUREMA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA SERRA DOS CARAJÁS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA RIO GRAMAME
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. DOS XAVANTES
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. PREFEITO OMAR O´ GRADY
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. PRUDENTE DE MORAIS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV LIMA E SILVA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,MARGINAL DA BR 101
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,TÚNEL UFRN
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,MARGINAL DA BR-101-(SAÍDA DE POTILÂNDIA)
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,BR 101
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. SENADOR SALGADO FILHO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. HERMES DA FONSÊCA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA TUIUTI
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA TEÓFILO BRANDÃO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA GUANABARA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA NOVO MUNDO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA CAMARAGIBE
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA SÃO FERNANDO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA JOÃO XXIII
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. SENADOR DINARTE MARIZ
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV GOVERNADOR SILVIO PEDROZA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. PRESIDENTE CAFÉ FILHO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,PRAÇA DOS HEROIS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA TULIO FERNANDES
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA RODRIGUES DIAS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA PEDRO AFONSO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA BELO HORIZONTE
