Empresa;Linha;Nome;Ida;Volta
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA DR. JULIO CESAR (Terminal);AV BACHAREL TOMAZ LANDIM
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA JOAQUIM EDUARDO DE FARIAS;AV. FELIZARDO FIRMINO MOURA
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA ESCRITOR EURICO FARIAS LACERDA;RUA JANDIRA
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA ESTÂNCIA VELHA;VIADUTO DA URBANA
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. AYRTON SENNA;AV. BERNARDO VIEIRA
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. ENGENHEIRO ROBERTO FREIRE;AV. SENADOR SALGADO FILHO (BR 101)
VIA SUL;50;SERRAMBI / SANTA CATARINA;BR 101;BR 101
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. SENADOR SALGADO FILHO (BR 101);VIADUTO DE PONTA NEGRA
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. ANTONIO BASILIO;AV. ENGENHEIRO ROBERTO FREIRE
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. RUI BARBOSA;AV. AYRTON SENNA
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. BERNARDO VIEIRA;RUA ESTÂNCIA VELHA
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. DOUTOR MARIO NEGOCIO;RUA DR. JULIO CESAR (Terminal)
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. FELIZARDO FIRMINO MOURA;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV BACHAREL TOMAZ LANDIM;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV DOUTOR JOAO MEDEIROS FILHO;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA GUADALUPE;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA ILHEUS;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. FLORIANOPOLIS;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV. DAS FRONTEIRAS;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;RUA PRESIDENTE MEDICI;NaN
VIA SUL;50;SERRAMBI / SANTA CATARINA;AV BACHAREL TOMAZ LANDIM;NaN
VIA SUL;588;CIRCULAR DO CAMPUS;RESTAURANTE UNIVERSITÁRIO (Terminal);AV. PASSEIOS DAS ROSAS
VIA SUL;588;CIRCULAR DO CAMPUS;AV. CAP. MOR-GOUVEIA (ANEL VIÁRIO CAMPUS);RUA DOS GERÂNIOS
VIA SUL;588;CIRCULAR DO CAMPUS;AV. PASSEIO DOS GIRASSOIS(ANEL VIÁRIO DO CAMPUS);MARGINAL DA BR 101
VIA SUL;588;CIRCULAR DO CAMPUS;ROTATORIA DO NEI;RUA CORONEL JOAO MEDEIROS
VIA SUL;588;CIRCULAR DO CAMPUS;AV. PASSEIO DOS GIRASSOIS(ANEL VIÁRIO DO CAMPUS);ROTATORIA DO NEI
VIA SUL;588;CIRCULAR DO CAMPUS;AV SANTOS DUMONT;REITORIA
VIA SUL;588;CIRCULAR DO CAMPUS;AV. PASSEIOS DAS ROSAS;RESTAURANTE UNIVERSITÁRIO (Terminal)
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. JANUARIO CICCO (Terminal);RUA SAO JOAO DEL REY
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. DUQUE DE CAXIAS;RUA PORTO DAS PEDRAS
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. CÂMARA CASCUDO;RUA JUIZ DE FORA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA ULISSES CALDAS;RUA SAO MIGUEL DOS CARIBES
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA MOSSORO;AV. DAS ALAGOAS
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. PRUDENTE DE MORAIS;RUA ARAPIRACA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;PRACA CIVICA;RUA DELMIRO GOUVEIA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. NILO PECANHA;AV. DOS PINHERAIS
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA CORONEL JOAQUIM MANOEL;BR 101
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. HERMES DA FONSÊCA;AV. SENADOR SALGADO FILHO
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. SENADOR SALGADO FILHO;AV. HERMES DA FONSÊCA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;BR 101;RUA CORONEL JOAQUIM MANOEL
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;TUNEL DA BR 101;AV. NILO PECANHA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. DAS ALAGOAS;PRACA CIVICA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA BARBACENA;RUA TRAIRI
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA DA CONQUISTA;AV. DEODORO DA FONSECA
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA CAPARAO;RUA APODI
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;AV. AYRTON SENNA;AV. RIO BRANCO
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA FURNAS;RUA GENERAL GLICERIO
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA SAO MIGUEL DOS CARIBES;AV. DUQUE DE CAXIAS
VIA SUL;51;ROCAS/ PIRANGI/ VIA PRACA;RUA SAO JOAO DEL REY;AV. JANUARIO CICCO (Terminal)
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. JANUARIO CICCO (Terminal);RUA SAO JOAO DEL REY
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. DUQUE DE CAXIAS;RUA SAO MIGUEL DOS CARIBES
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. CÂMARA CASCUDO;RUA INCONFIDENTES
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA PADRE JOAO MANOEL;AV. AIRTON SENNA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;PRACA ANDRE DE ALBUQUERQUE;RUA CAPARAO
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;PRACA JOAO TIBURCIO;R BARCELONA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA PADRE PINTO;AV. DAS ALAGOAS
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA MERMOZ;RUA ARAPIRACA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA CORONEL JOSE BERNARDO;RUA DELMIRO GOUVEIA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA FONSECA E SILVA;AV. AYRTON SENNA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA AMARO BARRETO;RUA DR.ORLANDO DE AZEVEDO
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. PRESIDENTE BANDEIRA;MISSIONARIO GUNNAR VINGREN
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA SAO JOSE;AV. ENGENHEIRO ROBERTO FREIRE
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. BERNARDO VIEIRA;BR 101
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. SENADOR SALGADO FILHO (BR 101);AV. SENADOR SALGADO FILHO (BR 101)
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;BR 101;AV. ANTONIO BASILIO
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;VIADUTO DE PONTA NEGRA;AV. XAVIER DA SILVEIRA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. ENGENHEIRO ROBERTO FREIRE;AV. BERNARDO VIEIRA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. AYRTON SENNA;AV. PRESIDENTE BANDEIRA
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA DELMIRO GOUVEIA;AV. CORONEL ESTEVAM
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;RUA ARAPIRACA;RUA CORONEL JOSE BERNARDO
VIA SUL;52;ROCAS/PIRANGI/VIA ALECRIM VIA ALECRIM;AV. DAS ALAGOAS;PRACA TAMANDARE
